Postal code ;Locality;Population
(april 2009);;(2008-12-31)
12032;STOCKHOLM           ;1
12033;STOCKHOLM           ;2
12038;ÅRSTA               ;1256
12039;ÅRSTA               ;1031
12044;ÅRSTA               ;17
12047;ENSKEDE GÅRD        ;1045
12048;ENSKEDE GÅRD        ;1392
12050;ÅRSTA               ;1008
12051;ÅRSTA               ;1332
12052;ÅRSTA               ;1248
12053;ÅRSTA               ;1426
12054;ÅRSTA               ;1289
12055;ÅRSTA               ;749
12056;ÅRSTA               ;2008
12057;ÅRSTA               ;1639
12058;ÅRSTA               ;948
12059;ÅRSTA               ;886
12060;ÅRSTA               ;1448
12061;STOCKHOLM           ;1154
12062;STOCKHOLM           ;639
12063;STOCKHOLM           ;1123
12064;STOCKHOLM           ;1637
12065;STOCKHOLM           ;1107
12066;STOCKHOLM           ;1551
12067;STOCKHOLM           ;1337
12068;STOCKHOLM           ;1640
12069;STOCKHOLM           ;670
12070;STOCKHOLM           ;1055
12079;STOCKHOLM           ;344
12130;ENSKEDEDALEN        ;2164
12131;ENSKEDEDALEN        ;1497
12132;ENSKEDEDALEN        ;526
12133;ENSKEDEDALEN        ;1645
12134;ENSKEDEDALEN        ;1553
12135;JOHANNESHOV         ;556
12136;JOHANNESHOV         ;1261
12137;JOHANNESHOV         ;1017
12138;JOHANNESHOV         ;1294
12139;JOHANNESHOV         ;1144
12140;JOHANNESHOV         ;915
12143;JOHANNESHOV         ;1173
12144;JOHANNESHOV         ;887
12145;JOHANNESHOV         ;1404
12146;JOHANNESHOV         ;1391
12147;JOHANNESHOV         ;1006
12148;JOHANNESHOV         ;1192
12149;JOHANNESHOV         ;1363
12150;JOHANNESHOV         ;1008
12151;JOHANNESHOV         ;1058
12152;JOHANNESHOV         ;1583
12153;JOHANNESHOV         ;1439
12154;JOHANNESHOV         ;1679
12155;JOHANNESHOV         ;1465
12156;JOHANNESHOV         ;814
12162;JOHANNESHOV         ;3
12163;JOHANNESHOV         ;7
12177;JOHANNESHOV         ;4
12231;ENSKEDE             ;430
12232;ENSKEDE             ;1002
12233;ENSKEDE             ;190
12234;ENSKEDE             ;848
12237;ENSKEDE             ;1475
12238;ENSKEDE             ;942
12239;ENSKEDE             ;985
12240;ENSKEDE             ;1361
12241;ENSKEDE             ;1448
12242;ENSKEDE             ;1825
12243;ENSKEDE             ;744
12244;ENSKEDE             ;1335
12245;ENSKEDE             ;2230
12246;ENSKEDE             ;1326
12247;ENSKEDE             ;1353
12248;ENSKEDE             ;1961
12260;ENSKEDE             ;1152
12262;ENSKEDE             ;913
12263;ENSKEDE             ;1561
12264;ENSKEDE             ;1335
12265;ENSKEDE             ;428
12266;ENSKEDE             ;1024
12332;FARSTA              ;1373
12333;FARSTA              ;1867
12334;FARSTA              ;717
12341;FARSTA              ;1520
12342;FARSTA              ;1688
12343;FARSTA              ;1121
12344;FARSTA              ;1835
12346;FARSTA              ;1267
12347;FARSTA              ;411
12348;FARSTA              ;1389
12349;FARSTA              ;2502
12350;FARSTA              ;54
12352;FARSTA              ;1178
12356;FARSTA              ;1480
12357;FARSTA              ;1682
12358;FARSTA              ;1693
12359;FARSTA              ;1944
12360;FARSTA              ;1527
12363;FARSTA              ;828
12371;FARSTA              ;1540
12372;FARSTA              ;1306
12373;FARSTA              ;1086
12430;BANDHAGEN           ;587
12431;BANDHAGEN           ;1583
12432;BANDHAGEN           ;1853
12433;BANDHAGEN           ;1131
12450;BANDHAGEN           ;956
12451;BANDHAGEN           ;715
12452;BANDHAGEN           ;963
12453;BANDHAGEN           ;1218
12454;BANDHAGEN           ;514
12455;BANDHAGEN           ;1158
12456;BANDHAGEN           ;883
12457;BANDHAGEN           ;1123
12458;BANDHAGEN           ;1466
12459;BANDHAGEN           ;4
12461;BANDHAGEN           ;1503
12462;BANDHAGEN           ;1518
12463;BANDHAGEN           ;1054
12464;BANDHAGEN           ;1562
12465;BANDHAGEN           ;986
12466;BANDHAGEN           ;1327
12467;BANDHAGEN           ;1456
12470;BANDHAGEN           ;1699
12471;BANDHAGEN           ;1872
12472;BANDHAGEN           ;1056
12473;BANDHAGEN           ;1367
12474;BANDHAGEN           ;1170
12475;BANDHAGEN           ;1176
12476;BANDHAGEN           ;1133
12530;ÄLVSJÖ              ;971
12533;ÄLVSJÖ              ;1668
12534;ÄLVSJÖ              ;2494
12535;ÄLVSJÖ              ;911
12540;ÄLVSJÖ              ;1814
12541;ÄLVSJÖ              ;1040
12542;ÄLVSJÖ              ;1395
12543;ÄLVSJÖ              ;887
12544;ÄLVSJÖ              ;1455
12545;ÄLVSJÖ              ;395
12546;ÄLVSJÖ              ;282
12551;ÄLVSJÖ              ;839
12552;ÄLVSJÖ              ;876
12553;ÄLVSJÖ              ;942
12554;ÄLVSJÖ              ;865
12555;ÄLVSJÖ              ;788
12556;ÄLVSJÖ              ;1023
12557;ÄLVSJÖ              ;901
12558;ÄLVSJÖ              ;880
12559;ÄLVSJÖ              ;1098
12571;ÄLVSJÖ              ;1119
12572;ÄLVSJÖ              ;1672
12573;ÄLVSJÖ              ;1870
12574;ÄLVSJÖ              ;1565
12630;HÄGERSTEN           ;48
12631;HÄGERSTEN           ;1129
12632;HÄGERSTEN           ;1192
12633;HÄGERSTEN           ;904
12634;HÄGERSTEN           ;1307
12635;HÄGERSTEN           ;1174
12636;HÄGERSTEN           ;1082
12637;HÄGERSTEN           ;1805
12638;HÄGERSTEN           ;1871
12639;HÄGERSTEN           ;2421
12640;HÄGERSTEN           ;893
12641;HÄGERSTEN           ;499
12642;HÄGERSTEN           ;334
12647;HÄGERSTEN           ;1314
12648;HÄGERSTEN           ;1139
12649;HÄGERSTEN           ;1245
12650;HÄGERSTEN           ;1526
12651;HÄGERSTEN           ;2336
12652;HÄGERSTEN           ;1825
12653;HÄGERSTEN           ;1120
12654;HÄGERSTEN           ;1
12678;HÄGERSTEN           ;1053
12679;HÄGERSTEN           ;456
12730;SKÄRHOLMEN          ;351
12731;SKÄRHOLMEN          ;1770
12732;SKÄRHOLMEN          ;2562
12733;SKÄRHOLMEN          ;434
12734;SKÄRHOLMEN          ;2131
12736;SKÄRHOLMEN          ;1921
12737;SKÄRHOLMEN          ;2290
12738;SKÄRHOLMEN          ;1995
12740;SKÄRHOLMEN          ;1584
12741;SKÄRHOLMEN          ;1634
12742;SKÄRHOLMEN          ;1826
12743;SKÄRHOLMEN          ;1963
12744;SKÄRHOLMEN          ;1569
12745;SKÄRHOLMEN          ;2728
12746;SKÄRHOLMEN          ;2343
12747;SKÄRHOLMEN          ;1540
12748;SKÄRHOLMEN          ;333
12749;SKÄRHOLMEN          ;1066
12755;SKÄRHOLMEN          ;402
12761;SKÄRHOLMEN          ;2390
12830;SKARPNÄCK           ;10
12831;SKARPNÄCK           ;1095
12832;SKARPNÄCK           ;1332
12833;SKARPNÄCK           ;1190
12834;SKARPNÄCK           ;2063
12835;SKARPNÄCK           ;2373
12836;SKARPNÄCK           ;602
12838;SKARPNÄCK           ;1351
12839;SKARPNÄCK           ;363
